,0,1,2,3,4,5,6,7,8,9
88,4.370281914134466e-11,4.1464165434490496e-11,4.1660008776034374e-11,4.6561421385149515e-11,4.277911358485653e-11,4.4638071017288894e-11,4.392108898798597e-11,4.2905901054268725e-11,4.207456605342941e-11,4.7056136764922485e-11
89,4.278333243235011e-11,4.057909563925932e-11,4.1070924439168266e-11,4.531441888389054e-11,4.2246650622246307e-11,4.372924244933074e-11,4.2689629609071744e-11,4.199485204026132e-11,4.09541289769777e-11,4.6342041315483584e-11
90,4.157896249523674e-11,3.998001929517159e-11,4.055311642048309e-11,4.4070080917890664e-11,4.1243897186404865e-11,4.316080826072266e-11,4.1631809111208895e-11,4.1136205553016225e-11,4.033218203858269e-11,4.5248471636227805e-11
91,4.091615934953552e-11,3.902167478031515e-11,3.946110105346179e-11,4.2795544885620984e-11,4.023603672465015e-11,4.224554039922168e-11,4.068190229133961e-11,4.0186076688542016e-11,3.951461380324872e-11,4.4226844408967736e-11
92,3.99154043151384e-11,3.822719918389339e-11,3.854006003223276e-11,4.207634241026881e-11,3.937650205898535e-11,4.105560336142844e-11,3.99065225309414e-11,3.9444225663487487e-11,3.877187459977449e-11,4.310951595698498e-11
93,3.905653578328838e-11,3.7593261836832426e-11,3.744160537166863e-11,4.100919603899911e-11,3.869549125568028e-11,4.038613887757947e-11,3.920175295490935e-11,3.8793190881847295e-11,3.802846926248549e-11,4.229883110440369e-11
94,3.827937966605077e-11,3.7051250956210424e-11,3.675060256114193e-11,3.9848790933660894e-11,3.810973758788805e-11,3.960187733298426e-11,3.863553921235052e-11,3.77828879294384e-11,3.7311265188577636e-11,4.116373908402693e-11
95,3.757194555475962e-11,3.631450695706917e-11,3.587330432708313e-11,3.86584098066578e-11,3.74298370076076e-11,3.8584913042427615e-11,3.7946312758663225e-11,3.7124081586625834e-11,3.6531888625290776e-11,3.999467423909664e-11
96,3.691602579181108e-11,3.555467031901571e-11,3.523492608792367e-11,3.796896130836558e-11,3.672084858408198e-11,3.767719469749409e-11,3.7128522478724335e-11,3.646194457473939e-11,3.576894336276837e-11,3.912270507555604e-11
97,3.6036285067098106e-11,3.507927281987122e-11,3.480016275148046e-11,3.699374140353484e-11,3.5998315439655926e-11,3.681455140736034e-11,3.6447511675419264e-11,3.5966563061151646e-11,3.521694047492474e-11,3.852806962356681e-11
98,3.5535796527597086e-11,3.4532154913335944e-11,3.394462488870431e-11,3.63360452837469e-11,3.522360181307249e-11,3.607580900677476e-11,3.5556446675855113e-11,3.51270124099301e-11,3.463607178844086e-11,3.767319789460544e-11
99,3.458100472641945e-11,3.3946623290148636e-11,3.339017951020651e-11,3.56361606890232e-11,3.445244090016786e-11,3.5282887722587475e-11,3.4902969403560746e-11,3.433031636745909e-11,3.3973046598134715e-11,3.678013449359696e-11
100,3.3976599311813516e-11,3.3115510333914244e-11,3.2617242240462474e-11,3.483302535300936e-11,3.3862246340277125e-11,3.4719782604497595e-11,3.436428919201262e-11,3.3870684035264276e-11,3.377520485514651e-11,3.6285197069219066e-11
101,3.3549829581147605e-11,3.267652814997746e-11,3.188227459816062e-11,3.3842484370438797e-11,3.33315597345063e-11,3.3946623290148636e-11,3.360067779567544e-11,3.320232977443993e-11,3.31354943483575e-11,3.537503623363136e-11
102,3.2985392195428176e-11,3.207123455695182e-11,3.127587078211036e-11,3.325517639041209e-11,3.273847859475154e-11,3.3580249692022335e-11,3.273359361344319e-11,3.264033487937468e-11,3.241806822984472e-11,3.4741320931175323e-11
103,3.2091218571395075e-11,3.172284657182445e-11,3.061972897455689e-11,3.2808200600698e-11,3.200129050640044e-11,3.2838398666967805e-11,3.2196689758734465e-11,3.2187363885327613e-11,3.161271244778163e-11,3.4116043323706435e-11
104,3.15547588058962e-11,3.135358639383412e-11,3.001621173837066e-11,3.224109867971947e-11,3.165312456587799e-11,3.227018652296465e-11,3.1556313118130674e-11,3.1767255492809454e-11,3.10278469584091e-11,3.3537839172481654e-11
105,3.1024960378545074e-11,3.069766663088558e-11,2.96120905574071e-11,3.166555906375379e-11,3.0995872535299895e-11,3.1492808361122115e-11,3.107825108372708e-11,3.1051827775741003e-11,3.03075342600323e-11,3.3056002379794336e-11
106,3.05080405382796e-11,3.008038262919399e-11,2.897126982759346e-11,3.1069147254925156e-11,3.0278224372182194e-11,3.081290778084167e-11,3.037325946309011e-11,3.026823236496057e-11,2.980837798816083e-11,3.2623015400190525e-11
